instructor_id,instructor_name,course_id,course_name,semester_name,difficulty_level,student_count,avg_grade,avg_attendance,semester_enc,difficulty_enc,cluster,pca_1,pca_2
1,Jessica Graves,4,Course 4,Semester 3,Hard,28,67.43,73.79,2,2,1,-4.398414501089849,1.97259797235147
1,Jessica Graves,8,Course 8,Semester 1,Easy,33,66.91,73.33,0,0,2,-1.784615048548219,-5.039717468097205
1,Jessica Graves,3,Course 3,Semester 3,Hard,34,71.09,74.56,2,2,0,-1.3181872502541576,3.0401774309222906
1,Jessica Graves,5,Course 5,Semester 2,Hard,29,59.79,67.0,1,2,1,-14.284062867544217,-2.7377711363114514
2,Frederick Stevens,7,Course 7,Semester 3,Hard,39,69.51,74.92,2,2,1,-2.05629820190777,2.823399339675188
2,Frederick Stevens,1,Course 1,Semester 2,Easy,34,69.59,72.65,1,0,2,-0.4682167554037233,-4.793730636697223
2,Frederick Stevens,9,Course 9,Semester 1,Medium,36,68.75,76.94,0,1,3,0.4429299472451752,0.2879909980267346
2,Frederick Stevens,5,Course 5,Semester 1,Hard,35,74.29,72.97,0,2,0,-0.24791055916615315,2.9871356078718523
2,Frederick Stevens,5,Course 5,Semester 3,Hard,32,65.94,76.38,2,2,1,-3.5168781244741587,2.7984690255981706
2,Frederick Stevens,8,Course 8,Semester 3,Easy,36,68.94,76.22,2,0,3,1.6252777933053828,-3.327622883243669
3,Denise Fritz,6,Course 6,Semester 2,Medium,32,69.84,76.53,1,1,3,0.8150152031659613,0.367489214369548
3,Denise Fritz,7,Course 7,Semester 2,Hard,37,70.49,77.32,1,2,0,0.2823763825180373,4.142428983288777
3,Denise Fritz,8,Course 8,Semester 2,Easy,36,73.31,79.86,1,0,3,7.140130123214967,-0.7469532625205162
3,Denise Fritz,1,Course 1,Semester 3,Easy,32,62.75,68.75,2,0,2,-7.850796867536655,-7.9958997910007215
3,Denise Fritz,9,Course 9,Semester 2,Medium,37,69.43,77.54,1,1,3,1.320324960512254,0.6935783088139043
3,Denise Fritz,9,Course 9,Semester 3,Medium,42,73.19,75.81,2,1,0,2.675121279608999,0.6528481393378962
3,Denise Fritz,6,Course 6,Semester 3,Medium,32,73.28,73.66,2,1,0,1.0830475354833526,-0.21270772042422034
4,Steven Gomez,10,Course 10,Semester 3,Easy,45,71.62,78.78,2,0,3,5.351345561836702,-1.6809499986690712
4,Steven Gomez,1,Course 1,Semester 1,Easy,37,70.22,74.27,0,0,2,1.1534964501065939,-3.95010175694318
4,Steven Gomez,2,Course 2,Semester 1,Medium,38,70.82,72.84,0,1,2,-1.032907221541102,-1.1581416170606254
4,Steven Gomez,3,Course 3,Semester 1,Hard,30,73.07,77.13,0,2,0,1.7997130010171951,4.668164275616114
4,Steven Gomez,4,Course 4,Semester 2,Hard,30,69.27,74.1,1,2,1,-2.9024759429143048,2.4853888319553534
4,Steven Gomez,6,Course 6,Semester 1,Medium,34,73.21,76.62,0,1,0,3.182271394535679,1.1035020122809471
4,Steven Gomez,10,Course 10,Semester 1,Easy,35,74.03,74.94,0,0,2,4.155016403653057,-2.821641083342007
4,Steven Gomez,10,Course 10,Semester 2,Easy,44,70.16,78.02,1,0,3,3.837791300767842,-2.3241251934666747
5,Jonathon Gonzalez,3,Course 3,Semester 2,Hard,34,65.5,76.68,1,2,1,-3.5576617330590525,2.824950064787142
5,Jonathon Gonzalez,2,Course 2,Semester 3,Medium,34,66.12,75.38,2,1,1,-2.480293809479444,-0.9619463752463712
5,Jonathon Gonzalez,2,Course 2,Semester 2,Medium,39,68.92,75.05,1,1,2,-0.7508856873565003,-0.5654091922997053
5,Jonathon Gonzalez,7,Course 7,Semester 1,Hard,30,74.4,77.6,0,2,0,3.0235210197871383,5.162967657320396
5,Jonathon Gonzalez,4,Course 4,Semester 1,Hard,32,68.22,75.84,0,2,1,-2.336850048380913,3.037950538127473
6,Heidi Stafford,16,Course 16,Semester 1,Medium,31,71.03,71.77,0,1,2,-1.741920573364852,-1.535113368525958
6,Heidi Stafford,11,Course 11,Semester 1,Hard,37,69.7,75.95,0,2,0,-1.1983146383133392,3.3540363682232
6,Heidi Stafford,14,Course 14,Semester 2,Medium,39,70.08,74.92,1,1,2,-0.06432486512315472,-0.3794320209163164
6,Heidi Stafford,16,Course 16,Semester 3,Medium,37,70.43,73.11,2,1,2,-1.1489584727842728,-1.1117418917713693
6,Heidi Stafford,18,Course 18,Semester 2,Hard,32,72.28,76.81,1,2,0,1.0555796623104075,4.335353483685737
6,Heidi Stafford,18,Course 18,Semester 3,Hard,33,66.67,70.82,2,2,1,-6.935102132350269,0.41445995050058004
6,Heidi Stafford,20,Course 20,Semester 1,Easy,46,70.89,73.5,0,0,2,1.182319498705213,-4.242764572065871
7,Joel Foster,11,Course 11,Semester 3,Hard,36,65.39,76.89,2,2,1,-3.471757592316598,2.8768889370823962
7,Joel Foster,16,Course 16,Semester 2,Medium,35,73.0,76.09,1,1,0,2.6655454344271385,0.8070614941881047
7,Joel Foster,20,Course 20,Semester 3,Easy,31,68.61,74.06,2,0,2,-0.18762325329256171,-4.333141824630943
7,Joel Foster,18,Course 18,Semester 1,Hard,38,67.79,73.55,0,2,1,-4.158918162062175,1.8495001036418204
7,Joel Foster,13,Course 13,Semester 2,Easy,36,72.92,74.97,1,0,2,3.42945382272954,-3.053538863161379
7,Joel Foster,19,Course 19,Semester 3,Easy,30,72.47,79.3,2,0,3,6.0843629826564145,-1.124820538782113
8,Christina Hobbs,17,Course 17,Semester 1,Hard,41,71.39,71.9,0,2,0,-2.8666277403175853,1.831684648914672
8,Christina Hobbs,15,Course 15,Semester 2,Medium,32,70.88,79.72,1,1,3,3.762734693783153,2.0381870937858366
8,Christina Hobbs,19,Course 19,Semester 1,Easy,39,71.9,73.67,0,0,2,1.8846308221122898,-3.8866927344275197
8,Christina Hobbs,12,Course 12,Semester 1,Medium,28,70.61,72.11,0,1,2,-1.824696588865446,-1.4412110105685976
9,Scott Harrison,19,Course 19,Semester 2,Easy,35,72.23,80.31,1,0,3,6.719343386031056,-0.7611431486783016
9,Scott Harrison,13,Course 13,Semester 3,Easy,33,73.7,77.52,2,0,3,5.694910981987551,-1.7025437920552355
9,Scott Harrison,13,Course 13,Semester 1,Easy,28,69.11,79.43,0,0,3,3.92583575396404,-1.7536525639356164
9,Scott Harrison,14,Course 14,Semester 1,Medium,29,67.31,75.66,0,1,1,-1.521198198326928,-0.5331407612357942
9,Scott Harrison,11,Course 11,Semester 2,Hard,33,64.79,72.73,1,2,1,-6.833627558674943,0.8876344572541766
9,Scott Harrison,15,Course 15,Semester 1,Medium,41,67.78,76.98,0,1,3,-0.11163036661722361,0.054555661349900295
9,Scott Harrison,17,Course 17,Semester 3,Hard,30,68.0,77.77,2,2,1,-1.1816146625738293,3.8846431823940555
10,Gregory Pearson,15,Course 15,Semester 3,Medium,42,69.38,73.74,2,1,2,-1.3410516643399655,-1.0937241561182773
10,Gregory Pearson,14,Course 14,Semester 3,Medium,34,74.47,80.06,2,1,3,6.422688145148769,2.931061246215182
10,Gregory Pearson,17,Course 17,Semester 2,Hard,42,71.43,77.81,1,2,0,1.3266439684895122,4.517253519338192
10,Gregory Pearson,20,Course 20,Semester 2,Easy,36,69.94,76.92,1,0,3,2.8055266982398006,-2.796266896693678
10,Gregory Pearson,12,Course 12,Semester 3,Medium,41,70.05,74.93,2,1,2,-0.06581244047785856,-0.40155770808864194
10,Gregory Pearson,12,Course 12,Semester 2,Medium,34,67.09,76.24,1,1,1,-1.207320678885997,-0.3641545799388592
